f0_workload,f1_mean,f2_std,f3_delta,f4_trend,f5_ema,f6_temperature,f7_headroom,f8_efficiency,f9_short_long
4789,4708,425,215,29,4742,12315,9445,598,195
3913,4681,466,-876,-100,4528,11858,9902,550,-408
3901,4478,403,-12,-74,4326,10932,10828,549,-442
4656,4505,406,755,-64,4415,11006,10754,591,-558
4011,4468,435,-645,-126,4306,11380,10380,556,-446
3872,4355,458,-138,-143,4172,10254,11506,547,-281
4311,4253,353,438,-64,4184,10676,11084,574,-302
3760,4152,364,-551,-71,4055,11330,10430,540,-273
3807,4029,285,47,-31,3966,10988,10772,543,-111
3983,4038,282,176,-47,3972,12038,9722,554,-300
3859,4032,285,-124,-77,3943,10717,11043,546,-239
3992,3949,161,133,-13,3937,10498,11262,555,-7
4352,3992,210,360,27,4050,10610,11150,576,121
4233,4037,218,-119,34,4106,11085,10675,569,249
3782,3971,204,-452,42,4010,10968,10792,541,242
3614,3953,228,-168,-10,3907,12157,9603,529,-122
4282,4012,243,668,1,4014,10841,10919,572,-192
4022,4017,243,-259,-1,4017,11073,10687,557,-71
4521,4100,284,498,24,4161,11540,10220,585,280
4027,4104,283,-493,7,4129,11022,10738,557,138
4026,4063,267,-1,27,4094,11355,10405,557,205
4197,4059,265,171,56,4119,11281,10479,567,39
4116,4100,243,-80,31,4127,11507,10253,562,20
4727,4240,243,611,31,4308,10408,11352,595,171
5390,4378,453,662,131,4609,11636,10124,622,586
4175,4397,441,-1215,76,4505,11120,10640,566,587
4192,4356,442,17,73,4418,11265,10495,567,367
4593,4427,429,401,57,4477,10988,10772,588,-171
4690,4510,407,97,36,4549,12056,9704,593,-29
5963,4731,607,1273,123,4952,10280,11480,639,562
6827,5070,870,864,232,5496,12208,9552,658,1211
7076,5363,1076,249,363,5956,11287,10473,662,2014
7295,5601,1252,219,527,6344,12544,9216,666,2344
7039,5959,1202,-256,494,6597,12460,9300,661,1884
7042,6316,1036,3,394,6788,12409,9351,661,1295
8013,6743,938,972,351,7189,12436,9324,674,994
8730,7248,769,716,297,7687,13325,8435,680,1088
8484,7563,690,-246,262,7956,11954,9806,678,1353
8529,7776,693,45,264,8147,12035,9725,678,1288
8447,7947,667,-82,245,8260,12046,9714,677,863
8342,8078,628,-105,208,8309,12883,8877,676,578
8299,8236,491,-43,115,8342,11761,9999,676,203
8882,8466,249,583,41,8528,13006,8754,680,67
8318,8504,194,-563,-20,8484,12340,9420,676,-7
8597,8487,179,279,12,8509,11964,9796,678,179
7700,8389,316,-897,-54,8285,11900,9860,670,-294
7956,8318,340,256,-75,8187,12022,9738,673,-373
7399,8187,449,-557,-138,7961,11605,10155,667,-802
7622,8097,480,223,-168,7856,12600,9160,670,-700
7288,7970,540,-334,-214,7686,12723,9037,665,-855
7329,7776,449,42,-170,7554,12744,9016,666,-581
7456,7669,407,126,-138,7505,11918,9842,668,-497
7517,7534,206,61,-52,7478,12390,9370,669,-159
7891,7557,233,373,-4,7586,12262,9498,673,102
8817,7665,471,927,144,7918,12712,9048,681,656
7958,7735,467,-860,140,7944,12587,9173,674,779
7968,7778,471,10,147,7959,12407,9353,674,751
7969,7863,435,1,110,7980,11411,10349,674,163
8111,7961,389,142,74,8035,12290,9470,676,88
8042,8034,339,-68,27,8053,12436,9324,675,11
8320,8134,286,277,-5,8142,12050,9710,678,37
7473,8082,356,-846,-86,7963,12217,9543,669,-219
7031,7859,384,-442,-95,7680,11613,10147,662,-401
7461,7797,402,430,-117,7612,12094,9666,669,-760
7545,7744,404,84,-120,7583,12509,9251,670,-637
6845,7604,488,-700,-171,7368,13254,8506,659,-512
7026,7468,479,181,-165,7252,11632,10128,663,-527
7022,7340,444,-4,-140,7166,12113,9647,662,-602
7072,7184,248,50,-58,7108,11618,10142,663,-231
6814,7102,248,-258,-58,7016,12030,9730,659,-212
7068,7107,247,254,-68,7030,11960,9800,663,-195
6836,7029,220,-232,-53,6964,12479,9281,659,-196
7277,6995,147,441,23,7035,12571,9189,666,105
6762,6985,160,-516,-12,6964,12128,9632,658,-42
6748,6950,176,-14,-28,6902,11964,9796,657,-34
6962,6942,174,214,-19,6916,12632,9128,661,-190
6939,6926,168,-23,-5,6918,12115,9645,661,-69
7014,6951,164,75,-10,6947,12805,8955,662,33
7504,7005,246,490,49,7099,11238,10522,670,235
6910,7014,241,-594,23,7053,12971,8789,661,205
6501,6917,270,-409,8,6894,11696,10064,653,87
6671,6906,278,170,-29,6836,11436,10324,657,-339
6045,6818,399,-626,-118,6618,11901,9859,642,-660
6312,6737,426,267,-144,6524,11300,10460,649,-631
7459,6802,488,1147,-63,6772,12262,9498,670,-315
6712,6764,481,-747,-48,6749,11727,10033,657,101
7257,6733,439,546,73,6869,12152,9608,667,655
7248,6776,469,-9,135,6973,11534,10226,666,475
7116,6852,468,-132,134,7026,11932,9828,664,567
7144,6912,471,29,138,7069,12107,9653,665,412
7688,7117,402,543,110,7269,12014,9746,672,318
6996,7202,274,-692,14,7220,12908,8852,662,118
6763,7116,289,-233,5,7086,12360,9400,658,54
6882,7137,263,119,-58,7040,12150,9610,660,-410
7073,7114,260,190,-50,7043,11100,10660,664,-332
7639,7163,312,567,8,7203,12296,9464,672,57
8084,7284,434,445,80,7450,12811,8949,676,504
7823,7369,464,-261,110,7562,11860,9900,674,769
8029,7411,505,206,199,7689,12155,9605,676,908
8518,7602,592,489,247,7938,10781,10979,680,835
8521,7821,566,3,233,8133,11748,10012,679,856
9190,8110,601,669,247,8462,11417,10343,683,1013
8857,8333,497,-333,198,8610,12583,9177,681,837
8298,8415,424,-559,121,8550,12440,9320,677,586
7535,8346,509,-763,12,8281,12388,9372,669,-187
7801,8344,512,266,-90,8160,12186,9574,672,-746
